timestamp,open,high,low,close,volume,t,oi
2021-04-01 09:15:00,14797.2,14802.0,14781.1,14790.2,0,1617248700,0
2021-04-01 09:16:00,14791.7999,14801.7,14785.1,14799.5,0,1617248760,0
2021-04-01 09:17:00,14799.0,14814.6,14798.7,14805.0,0,1617248820,0
2021-04-01 09:18:00,14804.5,14809.5,14799.8999,14809.2,0,1617248880,0
2021-04-01 09:19:00,14809.2999,14811.5,14802.2,14809.0,0,1617248940,0
2021-04-01 09:20:00,14808.7,14813.7999,14796.8999,14799.2,0,1617249000,0
2021-04-01 09:21:00,14797.6,14809.6,14796.7999,14807.3999,0,1617249060,0
2021-04-01 09:22:00,14807.6,14814.2,14805.2,14808.2,0,1617249120,0
2021-04-01 09:23:00,14807.8999,14809.3999,14799.2,14800.5,0,1617249180,0
2021-04-01 09:24:00,14802.5,14810.7999,14800.2,14803.6,0,1617249240,0
2021-04-01 09:25:00,14803.5,14808.2999,14798.6,14803.8999,0,1617249300,0
2021-04-01 09:26:00,14803.1,14804.2,14790.8999,14793.3999,0,1617249360,0
2021-04-01 09:27:00,14793.5,14794.3999,14781.5,14784.7,0,1617249420,0
2021-04-01 09:28:00,14784.2,14791.7999,14778.1,14778.7999,0,1617249480,0
2021-04-01 09:29:00,14779.7,14790.0,14778.1,14789.2999,0,1617249540,0
2021-04-01 09:30:00,14790.2999,14795.2999,14783.5,14784.7,0,1617249600,0
2021-04-01 09:31:00,14784.2,14790.5,14782.7,14784.3999,0,1617249660,0
2021-04-01 09:32:00,14784.5,14785.2,14778.2,14782.8999,0,1617249720,0
2021-04-01 09:33:00,14783.2,14789.2,14782.6,14786.5,0,1617249780,0
2021-04-01 09:34:00,14787.2999,14789.2,14778.7999,14781.7999,0,1617249840,0
2021-04-01 09:35:00,14781.7999,14787.1,14779.3999,14781.6,0,1617249900,0
2021-04-01 09:36:00,14781.8999,14782.6,14770.3999,14770.7999,0,1617249960,0
2021-04-01 09:37:00,14770.6,14772.0,14766.1,14770.5,0,1617250020,0
2021-04-01 09:38:00,14771.2999,14774.2999,14769.5,14772.3999,0,1617250080,0
2021-04-01 09:39:00,14772.2,14773.7999,14763.7999,14769.2999,0,1617250140,0
2021-04-01 09:40:00,14767.7999,14769.3999,14765.5,14766.7,0,1617250200,0
2021-04-01 09:41:00,14766.2,14768.3999,14761.8999,14763.3999,0,1617250260,0
2021-04-01 09:42:00,14761.7,14764.0,14760.7999,14763.0,0,1617250320,0
2021-04-01 09:43:00,14762.2999,14770.7,14762.0,14770.0,0,1617250380,0
2021-04-01 09:44:00,14770.3999,14775.2999,14767.7999,14774.3999,0,1617250440,0
2021-04-01 09:45:00,14774.5,14777.2999,14771.5,14772.2,0,1617250500,0
2021-04-01 09:46:00,14771.2999,14777.1,14770.7,14775.7,0,1617250560,0
2021-04-01 09:47:00,14776.2,14776.6,14763.7,14765.5,0,1617250620,0
2021-04-01 09:48:00,14765.6,14767.5,14762.8999,14766.7,0,1617250680,0
2021-04-01 09:49:00,14766.3999,14777.1,14766.1,14776.1,0,1617250740,0
2021-04-01 09:50:00,14776.0,14785.8999,14775.2999,14783.7,0,1617250800,0
